,mu1max,mu2max,KS1,KS2,KI2
0,0.8930612712,1.8264990783,15.6031178191,5.2865664375,332.862076507
1,0.8453449548,1.9054704727,15.2967454579,5.3002762641,321.7264742782
2,0.8966947396,1.9988266504,15.4187993373,5.3816887345,328.6142808665
3,1.0011732696,2.3926980964,16.160652019,5.4907010801,321.5728259775
4,0.9229612922,2.0261646323,15.5665424658,5.4467304774,324.8225360504
5,0.7672889069000001,1.7172660708,14.6140087784,5.3032905156,349.4835394696
6,0.8698959767000001,1.9924357583,15.450297577,5.3467798824,325.3541474113
7,0.7841973019,1.9808660704,14.7388963641,5.4249100451,315.6869682747
8,0.8739753232,1.9718678932,15.3487846058,5.3906703506,330.5547566438
9,0.8697307095,2.0319422366,15.3341801719,5.369234906,325.6082958575
10,0.8038343126,1.9525410694,15.0408593028,5.3554654739,318.7255990218
11,1.0157354519,1.8865219046,16.0212931651,5.2843294458,322.9598550202
12,0.8339807119,2.0298099781,15.2653545522,5.3622212568,335.3759394149
13,0.8651266634,2.0115893911,15.4762164429,5.3622635533,326.9575823929
14,0.9634241967,2.1451020711,15.8277801426,5.4299434811000005,335.0062414188
15,0.9906233646,1.9818619540000002,15.861316833,5.2948319593,326.376090978
16,0.9084495085000001,1.6903201700000001,15.4516737538,5.1831977759,333.321178618
17,0.9091956373000001,1.9374423721,15.58593338,5.3879627292,333.4045878697
18,0.7884756065,1.9860018796,14.6672740047,5.3415303889,328.9238547894
19,0.8507743874,1.9697302975,15.248352646,5.3436453907,332.5728289774
20,1.0018927698,1.9052047479,15.8681178332,5.2775181258,337.0063881271
21,0.8635037529,2.0083821827,15.2387566855,5.3452683175,326.1535324543
22,0.7965593532,1.7216368162,15.0240166997,5.2439267991,328.5447930134
23,0.8284767946,1.6719252455,14.9766997919,5.1860331098,343.1969888066
24,0.7460298322000001,2.1274458545,14.5433815004,5.4408427725,335.8638862034
25,0.7855878754000001,1.6493961035,14.8051605737,5.1903884181,334.9730783894
26,0.8731890109,1.9328121425,15.3609707612,5.3444704951,336.3373105635
27,0.8678041835,1.9791292994,15.5008055566,5.3231936158,326.8931435554
28,0.8774393041,1.9844110254,15.3496224115,5.3665380311,330.5370936259
29,0.7628925397,1.8841794831,14.5275371072,5.3268564783,321.0703867589
30,0.8647638142,2.0228997063,15.2395807826,5.3836020762,326.6909979728
31,0.7479199659,1.9542754534000002,14.5515191789,5.3733493518,321.0048367846
32,0.9338644426,2.0848187788,15.598064857,5.3969538104,319.692469943
33,0.7621071442,2.0118385052,14.7172521522,5.3430113211,350.6424275514
34,0.9351049757000001,1.5033946979000001,15.4680225721,5.0921612458,325.4510329966
35,0.8564580675000001,1.9177308084,15.16725752,5.2762012556,321.835869334
36,0.9712173666,1.4374312630000001,15.9134538181,5.0751483116,325.9419826343
37,0.8379079691,2.064133777,15.2598922446,5.4180913211,332.6095169889
38,0.8651813851,1.8611296136000002,15.4431871734,5.3224851149,334.8530292418
39,0.8283795245000001,1.5004965628,15.0262175534,5.1272057535,318.6317639382
40,0.7593519440000001,1.6562210372,14.773174113,5.2142078756,314.2447756585
41,0.774043388,2.5847897167,14.8416811019,5.5972306153,323.7693169989
42,0.9076022153000001,1.8879505978000002,15.5455184075,5.3182819612,334.5172858475
43,0.8509521481000001,1.975266388,15.3562833482,5.3308159286,329.0127503453
44,0.7154560642000001,1.9338628224,14.3916618641,5.4028115832,342.3631958529
45,0.8680263845,1.9911746208,15.2396615246,5.3603060308,332.787517535
46,0.872919112,2.0241041677,15.4565090648,5.3792046555,332.9862750332
47,0.9178218840000001,1.7287145073999999,15.735223912,5.2274185313,328.5533670185
48,0.8438980913,1.9613485348,15.0784628147,5.3561243755,319.3116324383
49,0.8654262591,2.0134400562,15.5228711588,5.3383026763,327.3628271339
50,0.9498866088000001,1.971105733,15.675082823,5.3514110264,329.5974764674
51,0.8600802009,1.9388814028999999,15.4348247298,5.3480024878,327.8667511462
52,0.9288107448,1.5409519267,15.6613350909,5.145110732,335.2930390958
53,0.8393290853,1.5980191598,15.1671426723,5.1130084611,358.9493071002
54,0.8459626853000001,1.8027687471,15.2657011808,5.2630531557,323.7160550023
55,0.809674651,2.0394686529,15.0485504339,5.3214869936,337.3276491403
56,0.8572027982,1.9808218276,15.393997906,5.3458542933,327.87898796
57,0.8944590874,1.9821157036,15.4870292172,5.3592537151,316.0587963535
58,0.8825251566000001,2.0187639401,15.5011561739,5.3367325428,327.5655643129
59,0.8739258063,1.9726064842,15.438654928,5.3354993091,331.9108814252
60,0.9427545825,2.4599668034,15.6528026952,5.5332715323,309.8175850366
61,0.8553287620000001,1.9985786987,15.3279794806,5.3697423374,327.1063576751
62,0.7466128996,2.1864817674,14.5563970356,5.4179253714,330.6673292954
63,0.8234039466,1.5614346778,15.0631027098,5.1301399353,325.387336891
64,0.8615927698,1.9728549149,15.1262281536,5.341658433,331.0525719656
65,0.8417698456,1.9457874653,15.3180073397,5.3096965668,343.577519387
66,0.8695154933,1.9823530714,15.4365306791,5.3656593184,326.0632451098
67,0.9159689582,1.9595703658999999,15.3738970854,5.3715482049,326.765076462
68,0.9972536632000001,1.9255198933000002,15.9924465228,5.2951664397,333.6919573108
69,0.818759667,2.0724231938,14.9830423727,5.4301761069,318.6598520069
70,0.871701856,1.9840130149,15.2619769356,5.3739007617,333.3807131445
71,0.8757762125,2.0219369145,15.474517658,5.3696616532,323.6968184834
72,0.7427775315,2.1361392804,14.7071342819,5.4827380378,321.5907893439
73,0.8736690884,2.0229623404,15.2884613206,5.3481170642,335.6455814695
74,1.0171207799,2.0508935459,16.0132685214,5.3855278206,302.0719350178
75,0.8476099797000001,1.9999355572000002,15.117489148,5.3803120113,329.1797169615
76,0.8801763596000001,2.0218722169,15.3529131341,5.3734772631,328.506992288
77,0.9077907513000001,2.0078674135,15.3421695189,5.392498147,327.0795944876
78,0.9191502536,1.7674719186,15.5769319143,5.25566393,323.8536567534
79,0.8719837374,2.0104686798999998,15.4719361753,5.3365205525,328.6754230469
80,0.8714806167,1.9895550314000001,15.2571802104,5.4139185249,326.2928027319
81,0.9113493104,1.8978624004,15.6910749575,5.2927276734,329.6479375482
82,0.8675051566,1.9914141082999999,15.3420505951,5.3488197816,330.8668130568
83,0.8223629534,1.9815525558,15.0129497798,5.3790785275,328.0038844827
84,0.8386489123,2.0215588993,15.2610624398,5.3789067518,323.137192794
