,mu1max,mu2max,KS1,KS2,KI2
87,0.9561738654,0.9702573796,6.3798354661,10.6531994031,259.1394153091
88,0.8772596319,0.599435124,6.1114634584,7.6716462661,267.0147752351
89,0.7669473212,0.8855169165000001,5.5947286671,10.1015786105,256.4657864421
90,0.8301349407,0.7215028454,5.8873161175,8.8001740812,255.6703364513
91,0.8221500607000001,0.8540235859,5.8899441461,9.7771620955,258.357153854
92,1.0017014555,0.9638488568,6.6105269055,10.5847817808,258.3010425899
93,0.8842535037,0.9364180136,6.1829951055,10.2541186666,258.8184987456
94,0.8986454673000001,0.6785354486,6.2636250284,8.3365125523,255.5729509975
95,0.961544748,0.7423952234000001,6.4390967505,8.9084021999,274.8384387185
96,1.0149351089,0.9681263217,6.7117551319,10.6831276242,245.8766588257
97,0.8421915469,0.9934295528,5.9404410072000005,10.7758164552,257.4769730865
98,0.9604426256,0.7257736032000001,6.4423975933,8.8442493654,250.7094715519
99,0.9707099401,0.8121827042,6.5503926268,9.4777849348,259.5308071098
100,0.8507942173,0.7715753482000001,5.8785095940000005,9.1933218126,254.6591174086
101,0.7851074431,0.8652694021,5.7067211758,9.9304001095,242.4159237108
102,1.0076598066,0.6883421981000001,6.7672197612,8.5753098137,269.8909830613
103,1.0289182992,0.8710161263,6.7157754295,9.9375360284,263.7923107355
104,0.9640113212,1.0991447749,6.4074158367,11.3691847562,263.4326132695
105,1.0156474714,1.0128289136,6.7365029806,10.8788282284,254.9700728322
106,0.9177554637,1.1725522415,6.3129368627,11.8126409034,255.2507451625
107,0.9552563248,0.8414351611,6.3834320904,9.7598670958,240.8544693052
108,0.9934066061000001,0.9452213462000001,6.57088748,10.3708839251,267.2518082425
109,0.9181590605000001,0.7218621097,6.291797199,8.7120626769,255.1082094268
110,0.9740955898,0.8935358539,6.4860286307,10.1474572972,260.7352975249
111,0.8565137736,0.7194872969,6.0231814363,8.8685319538,259.2179084305
112,0.9480843264000001,0.789464531,6.4233765598,9.4563305646,250.7493243514
113,0.8921150829000001,0.9429718235000001,6.1879731682,10.4985148281,246.3781623849
114,0.9716073708,0.8247794848000001,6.4516968744,9.555270451,238.6347054748
115,0.9226896844,0.9452695512,6.3196522115,10.5198341779,258.7715240534
116,0.8407541201000001,0.8884605519000001,6.0135075671,10.141189467,248.043264129
117,0.910780122,1.0004668199,6.2936419842,10.8299458741,264.8111113019
118,0.9621169895,0.7180734067,6.4300078099,8.7473661909,259.067523445
119,0.8885894757,0.7798640870000001,6.0994235128,9.2703755777,272.159629713
120,0.8551010812000001,0.888793842,6.0127839529,10.1699242652,252.7865662756
121,0.8451031742,1.1750730345,6.0022254435,11.7589938177,246.7138978938
122,0.9293597002,0.721444296,6.3308012982,8.837795528400001,257.0103183637
123,0.8284648301,1.0802288328,5.9359314162,11.2636145908,277.6983131374
124,0.9083710801,0.7471586804,6.2340718951,8.9344774506,244.7172068145
125,0.9345538948000001,0.7725239871,6.3453177771,9.2434219365,262.8545948252
126,0.9488294236,1.0989695963,6.4078342889,11.4075323162,255.0042259496
127,1.0149621517,0.8990806754,6.6435176536,10.2470454463,269.6646211858
128,1.0109088336,0.8996950081,6.6107333844,10.1456176749,255.0570039331
129,1.055169832,0.8762428406,6.8241072309,10.0869875508,273.582368295
130,0.9664181613,0.8949704146,6.5161863145,10.083568496,269.0043008123
131,0.95429825,0.9661390355,6.4239146944,10.566937898,264.9043082835
132,0.9056302813,0.7292732473,6.2483334195,8.8733167727,271.753005915
133,0.9000437107,1.1673502083,6.2264841408,11.8492924013,269.0150211428
134,1.0092502013,0.7483490063,6.6353215308,9.0732491502,263.8814618856
135,0.8472106705,0.7969443150000001,5.9026853832,9.4986486224,251.9477312645
136,0.8528355735,0.8941278385,6.0307166819,10.117098677,265.2539527072
137,0.9383941870000001,1.02217197,6.4643019415000005,10.9518744906,252.3726517201
138,0.8366572988000001,1.1596822791,5.9382806846000005,11.7139455094,264.0331895763
139,0.8583360469,0.9144150312,6.0415304683,10.3110244823,274.5304112709
140,1.0266271111,0.8669838358,6.7435375086,9.9773020045,240.7931666814
141,0.9134230314,0.7286254072,6.2407420445,8.8733455882,257.4839347419
142,0.8763637148000001,0.8879050493,6.1251934215,9.9112490682,258.8949759901
143,0.9049991401,0.8378228816000001,6.2542950292,9.676383579,259.5205081261
144,0.8523296687,0.8942385366000001,6.0171518164,10.1771203317,280.0185334022
145,0.9173555857000001,0.7447763854,6.2951361607,8.9235924537,248.9970672398
146,0.8409719446,0.9607167497,5.9329181736,10.4764414613,270.3584797306
147,0.7993171852000001,0.7565571280000001,5.7881409679,9.0221482304,250.8111745883
