pH_LL_aa,k_m_ac,K_S_c4,k_m_c4,k_m_pro,pH_UL:LL_aa,k_dec,K_S_ac,K_S_pro,k_m_aa,K_I_nh3,k_m_su
5.752748758822438,20.219849855806718,5.880768902598414,357.55615660606463,33.17273083634953,1.614569875831252,0.005788148451583589,0.23528476968083262,0.39224169313033147,6.873403058637507,0.0008621118128488923,2.8080939233885536
6.364779268082068,22.56037770032619,2.3905728842067684,145.72270257448028,26.467283083177747,0.920953471995939,0.006122627310902365,0.2104534172979174,0.30953410460489705,33.21795012810633,0.0007152602256814254,2.3776423444887573
6.339849760049021,17.00583899386436,3.9576640337524105,239.55923412720526,22.419030687169286,0.9375628623341831,0.006171436391675578,0.1926680660600378,0.2573338762246604,23.8723858971254,0.0009375274643338126,2.6171401622289
5.852807602931162,18.576692329144755,1.9569610283773744,120.93777691742558,25.307142674716896,1.4324659606356713,0.006357856744324358,0.2075637474963334,0.2909114018864623,54.020575800618694,0.0008814124002933601,2.455840242221755
6.108104639666104,18.354670036233976,1.5209131185669518,93.58451169143409,25.42808114836962,1.1409033971311051,0.006155574842092228,0.20683356110798146,0.29493262440896756,52.184428863291465,0.0008907566389378512,2.434902799225242
6.227431885753522,18.67290558415269,1.4582984814721036,89.412316850921,23.94687437482908,1.0325329828447742,0.006005335126547991,0.20495702978803093,0.2769511572781584,149.68843554633492,0.0008632442979545699,2.3488350088788397
5.9532128935154445,18.31053185965851,0.5870206017883002,36.754275101960424,25.610947257778943,1.2945748620345785,0.0066115384820146375,0.19916686398148323,0.2950125284338472,28.151658061329474,0.0008841806848113032,2.5844665028296294
5.634977659480401,19.588337276140408,1.591172522289914,98.98654043903905,25.61299069912571,1.7614643737802276,0.006196630575410706,0.20933540514896223,0.294030904720133,106.96953169568778,0.0008330778261966503,2.446100638217213
5.811561861512152,18.45915694034734,1.873193959416473,115.89233351532009,26.756468909109987,1.5039208757852232,0.006162590058519073,0.20825537743479824,0.30935145806663245,55.29185708336358,0.0008887788663197416,2.451937195170917
5.691494838255638,24.15210309259402,2.1076761595355316,130.60311085830898,25.72709058558594,1.7003324491868343,0.0058895681516698065,0.2177594285712602,0.2960363279267154,39.9913593025928,0.0006728067643909547,2.4565416762037784
