time,D,S1,S2,Z,C,pH
11.5,0.02526067862388946,31.891059032305144,0.0,1.0000000000000018e-05,0.0,7.4
11.75,0.025315342050780204,31.87654783860444,0.0,1.0000000000000018e-05,0.0,7.4
12.0,0.025370402512744902,31.862295406031183,0.0,1.0000000000000018e-05,0.0,7.4
12.25,0.025425850268862113,31.848308047080895,0.0,1.0000000000000018e-05,0.0,7.4
12.5,0.02548167554704888,31.83459200383033,0.0,1.0000000000000018e-05,0.0,7.4
12.75,0.025537868545920325,31.821153446409948,0.0,1.0000000000000018e-05,0.0,7.4
13.0,0.02559441943664902,31.807998471493608,0.0,1.0000000000000018e-05,0.0,7.4
13.25,0.025651318364823688,31.7951331008057,0.0,1.0000000000000018e-05,0.0,7.4
13.5,0.025708555452307037,31.782563279646112,0.0,1.0000000000000018e-05,0.0,7.4
13.75,0.025766120799092178,31.770294875433414,0.0,1.0000000000000018e-05,0.0,7.4
14.0,0.025824004485157544,31.75833367626637,0.0,1.0000000000000018e-05,0.0,7.4
14.25,0.025882196572319754,31.7466853895044,0.0,1.0000000000000018e-05,0.0,7.4
14.5,0.02594068710608424,31.735355640367057,0.0,1.0000000000000018e-05,0.0,7.4
14.75,0.025999466117493243,31.72434997055292,0.0,1.0000000000000018e-05,0.0,7.4
15.0,0.026058523624970787,31.713673836878225,0.0,1.0000000000000018e-05,0.0,7.4
15.25,0.02611784963616448,31.703332609935515,0.0,1.0000000000000018e-05,0.0,7.4
15.5,0.026177434149783584,31.69333157277257,0.0,1.0000000000000018e-05,0.0,7.4
15.75,0.02623726715743321,31.683675919592,0.0,1.0000000000000018e-05,0.0,7.4
16.0,0.026297338645444247,31.674370754471653,0.0,1.0000000000000018e-05,0.0,7.4
16.25,0.026357638596698655,31.665421090106243,0.0,1.0000000000000018e-05,0.0,7.4
16.5,0.02641815699244989,31.656831846570444,0.0,1.0000000000000018e-05,0.0,7.4
16.75,0.026478883814138102,31.64860785010362,0.0,1.0000000000000018e-05,0.0,7.4
17.0,0.026539809045199703,31.640753831916648,0.0,1.0000000000000018e-05,0.0,7.4
17.25,0.02660092267287117,31.63327442702088,0.0,1.0000000000000018e-05,0.0,7.4
17.5,0.026662214689986606,31.626174173079704,0.0,1.0000000000000018e-05,0.0,7.4
17.75,0.02672367509676882,31.6194575092828,0.0,1.0000000000000018e-05,0.0,7.4
18.0,0.02678529390261358,31.613128775243418,0.0,1.0000000000000018e-05,0.0,7.4
18.25,0.02684706112786681,31.6071922099189,0.0,1.0000000000000018e-05,0.0,7.4
18.5,0.0269089668055943,31.60165195055468,0.0,1.0000000000000018e-05,0.0,7.4
18.75,0.026971000983343676,31.59651203165198,0.0,1.0000000000000018e-05,0.0,7.4
19.0,0.02703315372489848,31.591776383959477,0.0,1.0000000000000018e-05,0.0,7.4
19.25,0.02709541511202373,31.587448833489056,0.0,1.0000000000000018e-05,0.0,7.4
19.5,0.02715777524620296,31.58353310055601,0.0,1.0000000000000018e-05,0.0,7.4
19.75,0.027220224250366364,31.580032798843774,0.0,1.0000000000000018e-05,0.0,7.4
20.0,0.02728275227060963,31.576951434493445,0.0,1.0000000000000018e-05,0.0,7.4
20.25,0.027345349477903354,31.57429240521826,0.0,1.0000000000000018e-05,0.0,7.4
20.5,0.027408006069792597,31.572058999443293,0.0,1.0000000000000018e-05,0.0,7.4
20.75,0.027470712272086414,31.57025439547047,0.0,1.0000000000000018e-05,0.0,7.4
21.0,0.027533458340536953,31.56888166066913,0.0,1.0000000000000018e-05,0.0,7.4
21.25,0.027596234562508006,31.567943750692283,0.0,1.0000000000000018e-05,0.0,7.4
21.5,0.027659031258632522,31.567443508718778,0.0,1.0000000000000018e-05,0.0,7.4
21.75,0.027721838784459,31.567383664721525,0.0,1.0000000000000018e-05,0.0,7.4
22.0,0.027784647532086423,31.567766834761812,0.0,1.0000000000000018e-05,0.0,7.4
22.25,0.027847447931787356,31.56859552031014,0.0,1.0000000000000018e-05,0.0,7.4
22.5,0.02791023045361917,31.569872107593433,0.0,1.0000000000000018e-05,0.0,7.4
