time,X1,X2,S1,S2,Z,C,qm,qc
1.0,0.7522577071467489,0.3212871698955227,1.0133023184522332,1.5345532080740465,1e-05,105.78179453054516,3.4019905526530962,0.9976777717136515
2.0,0.7521790405097426,0.3212495573835537,1.013835768615891,1.5354340187307878,1e-05,105.76983631007424,3.4109773523202005,1.0001392500000377
3.0,0.7520575754249237,0.321192751633245,1.0144481259228615,1.5364732186965742,1e-05,105.75187996911352,3.421443212282178,1.0029554102267728
4.0,0.7518929542730094,0.3211165636182367,1.0151618487402108,1.5376797819018588,1e-05,105.72794074942,3.43347791083162,1.0061514600209323
5.0,0.7516855969966264,0.3210211915543526,1.0159763485184121,1.5390494892570146,1e-05,105.69815359295262,3.4470340385594103,1.0097140946077954
6.0,0.7514364512490903,0.32090701568931157,1.0168790063493025,1.5405908172722673,1e-05,105.66271654266255,3.4622005154542186,1.0136701255517584
7.0,0.751147075666315,0.3207748160306078,1.0178659403403023,1.5422762910617998,1e-05,105.62193805426637,3.4786876343014987,1.0179379373200168
8.0,0.750818767838751,0.32062512577321955,1.0189398964970076,1.544114169693914,1e-05,105.57605786226183,3.4965827385713624,1.0225442188208194
9.0,0.750453181744908,0.3204586735756363,1.0200991698553374,1.5461018488413407,1e-05,105.52537138189116,3.515859284843341,1.0274832769337554
10.0,0.7500528367974497,0.32027660283628573,1.02132527618355,1.5482263997569858,1e-05,105.47030091578861,3.5363855362952283,1.0327205910994843
11.0,0.7496191832721306,0.3200795218701007,1.022645725506918,1.5504937416954243,1e-05,105.41109594048417,3.558223674679946,1.038275514225689
12.0,0.7491546698106977,0.3198684724883471,1.0240481708023035,1.5529099265424873,1e-05,105.34814581299263,3.581441553454985,1.0441707140372298
13.0,0.7486620330702037,0.31964468941048413,1.0255280787249201,1.5554628630673049,1e-05,105.2818891633104,3.6059170376936414,1.0503747059959092
14.0,0.7481442055574075,0.31940946191913466,1.0270832166387678,1.5581486546889394,1e-05,105.21278033457912,3.631615626201369,1.0568816026738366
15.0,0.7476043659150562,0.31916418604750496,1.0287113074302066,1.5609634714970417,1e-05,105.14130270405536,3.658504996000123,1.063686634092379
16.0,0.7470459327418079,0.3189103627547175,1.0304099760761318,1.5639033191833984,1e-05,105.06796760867634,3.6865526747443647,1.0707854975962037
17.0,0.7464725552234737,0.3186495939323261,1.032176739485385,1.5669640177372608,1e-05,104.99331265418091,3.7157259134870184,1.0781743347446058
18.0,0.7458881015628182,0.3183835774464981,1.0340089958531815,1.5701411821157385,1e-05,104.91789972007713,3.7459915710481795,1.085849707193194
19.0,0.7452966451984601,0.3181141012250737,1.0359040131418353,1.5734302013210393,1e-05,104.84231266699103,3.7773159706944033,1.0938085599544496
20.0,0.7447016253462112,0.31784257595458076,1.0378877472977817,1.5768536761699021,1e-05,104.76701779202054,3.8099467271834024,1.1021269289572755
21.0,0.7441089983667972,0.3175718017993079,1.0399009582068188,1.580355080176203,1e-05,104.69289207100874,3.8433201356221405,1.1106546755583258
22.0,0.743522714691043,0.3173034363310254,1.0419672339067991,1.5839504086264033,1e-05,104.62045990862296,3.877620301064494,1.119451221490374
23.0,0.7429474759989365,0.3170395358288722,1.044083735042377,1.5876363240174094,1e-05,104.55036079691192,3.9128345236208375,1.1285215458143731
24.0,0.7423881007452766,0.3167822173777702,1.0462469038204791,1.5914067973435087,1e-05,104.48324428892455,3.9489240697019974,1.1378637116961852
25.0,0.7418494860558017,0.3165336337985445,1.0484529712510733,1.595255387653583,1e-05,104.41976257578251,3.985847847975135,1.1474755565212458
26.0,0.7413365801594605,0.31629596152542794,1.0506979578885178,1.5991752791735687,1e-05,104.36056643286922,4.023562740544704,1.1573547492447704
27.0,0.7408543537154131,0.31607138819835084,1.0529776677506268,1.6031592661072696,1e-05,104.30630110469998,4.062023365190033,1.1674986798616176
28.0,0.7404077700858803,0.3158620997776649,1.0552876832234732,1.6071997426210571,1e-05,104.25760209284475,4.101181864745934,1.1779043501263005
29.0,0.7400017547696659,0.31567026727954994,1.0576233625567135,1.6112886967092042,1e-05,104.21509088210722,4.140987708713288,1.188568261228064
30.0,0.7396411642497959,0.31549803324682013,1.0599798404732959,1.6154177067212057,1e-05,104.1793706452653,4.181387493687526,1.1994862946971911
31.0,0.7393307545648576,0.3153474980633648,1.0623520304543668,1.6195779476116179,1e-05,104.15102196752673,4.222324814973505,1.210653607184005
32.0,0.739075149813824,0.3152207062367482,1.0647346316847979,1.623760197978468,1e-05,104.13059863038137,4.263740116890091,1.2220645130748622
33.0,0.7388788109304175,0.31511963276693483,1.0671221384045582,1.6279548554274597,1e-05,104.11862349846811,4.3055706000796885,1.2337123774746634
34.0,0.7387460049799103,0.3150461697209378,1.0695088528244758,1.6321519576165209,1e-05,104.11558454910589,4.347750159314956,1.2455895124156298
35.0,0.7386807752502028,0.3150021131344811,1.0718889017232593,1.6363412081987394,1e-05,104.12193108475357,4.390209345325122,1.257687074976067
36.0,0.7386869124292881,0.31498915035137137,1.0742562556009654,1.6405120120280354,1e-05,104.1380701667227,4.432875397581291,1.2699949811935498
37.0,0.7387679270783739,0.31500884791577877,1.0766047522230042,1.6446535131332414,1e-05,104.16436330491709,4.475672284044072,1.28250181839328
38.0,0.7389270236819425,0.3150626401215638,1.0789281227017504,1.648754640321748,1e-05,104.20112343850174,4.518520801298792,1.2951947719037393
39.0,0.7391672076477425,0.3151519916150487,1.0811844683609246,1.652772995850582,1e-05,104.24865452712164,4.561021672803584,1.307970604053243
40.0,0.7394898084807201,0.31527731989297636,1.0834369302255276,1.6567515737251628,1e-05,104.30695120779265,4.6036366572472796,1.32096462670441
41.0,0.7398979698154029,0.31544008840442694,1.0856472666326822,1.6606643987719667,1e-05,104.37632292511226,4.646135310068992,1.3341216591561755
42.0,0.7403935026664924,0.3156411576751499,1.0878070948584067,1.664491828947833,1e-05,104.45687907152204,4.688343573244065,1.3473992417620737
43.0,0.7409777663687831,0.3158811615288103,1.0899100553072116,1.6682223573017205,1e-05,104.54865741978766,4.730167179441215,1.3607762447309895
44.0,0.7416517014667054,0.3161605503951114,1.091949931614315,1.6718448370404237,1e-05,104.65163627787166,4.771512259276861,1.3742305362798954
45.0,0.7424158207200557,0.31647958789295166,1.0939206486113207,1.675348349421977,1e-05,104.76573443580287,4.812283653006385,1.3877384217701854
46.0,0.7432702018682458,0.3168383474339112,1.0958163110582528,1.6787222710724137,1e-05,104.89081123242289,4.852385276335002,1.401274666270109
47.0,0.744214483131825,0.3172367100017695,1.097631242624731,1.681956345018549,1e-05,105.02666703275807,4.891720556681454,1.414812545669445
48.0,0.7452478614712533,0.31767436313496555,1.0993600240445118,1.685040750554119,1e-05,105.17304411308807,4.930192895951566,1.4283239153462743
49.0,0.7463690935855122,0.3181508011089708,1.1009975297926313,1.6879661707216325,1e-05,105.32962794197826,4.967706152672424,1.441779295638217
50.0,0.7475764996083196,0.318665326303279,1.1025389626786128,1.69072385658831,1e-05,105.49604884100835,5.004165139736247,1.4551479742182887
51.0,0.7488679694220339,0.31921705172100634,1.1039798864302375,1.6933056875845334,1e-05,105.671884003257,5.039476134062925,1.4683981253198228
52.0,0.7502409715177056,0.3198049046345905,1.1053162550087323,1.6957042266745526,1e-05,105.85665984869433,5.073547388701023,1.4814969440121706
53.0,0.7516925642746471,0.3204276313033785,1.1065444390089276,1.6979127701347467,1e-05,106.04985468698919,5.106289646970425,1.4944107960335165
54.0,0.7532194095371412,0.3210838027132168,1.1076612485291564,1.699925391052183,1e-05,106.25090165958255,5.137616650585607,1.5071053813549118
55.0,0.7548177883453991,0.3217718212771041,1.1086639521382773,1.7017369762286607,1e-05,106.45919192955795,5.167445638467629,1.5195459107660074
56.0,0.7564836186449704,0.32248992842189383,1.1095502924276828,1.7033432561126314,1e-05,106.67407808390911,5.195697831110442,1.5316972939674365
57.0,0.758212474827616,0.3232362129995919,1.1103184969256705,1.7047408271046505,1e-05,106.89487771733003,5.222298891718441,1.5435243364489888
58.0,0.7599996088992998,0.32400862043304873,1.1109672852593124,1.7059271666046945,1e-05,107.12087715875508,5.247179364543119,1.5549919447172698
59.0,0.7618399730945521,0.3248049625187572,1.1114958721602304,1.7069006404552571,1e-05,107.3513353067464,5.2702750827669815,1.5660653369501145
60.0,0.763728243743528,0.32562292780145624,1.1119039662944197,1.7076605030803425,1e-05,107.58548753842918,5.29152754407762,1.576710257571557
61.0,0.7656588461782133,0.32646009242723156,1.112191765655644,1.7082068904466383,1e-05,107.82254965545008,5.310884249453614,1.5868931932262167
62.0,0.7676259805021678,0.32731393139873327,1.1123599486659408,1.708540805857791,1e-05,108.06172183682582,5.328298999147278,1.5965815870762696
63.0,0.7696236480037875,0.3281818301337995,1.1124096620933726,1.7086640994058262,1e-05,108.302192563387,5.3437321475794475,1.6057440503090785
64.0,0.7716456780266218,0.3290610962457658,1.1123425056481844,1.7085794412569595,1e-05,108.54314248517892,5.357150812058657,1.6143505677005325
65.0,0.7736857551064369,0.3299489714601556,1.1121605135262178,1.7082902894609429,1e-05,108.78374820364263,5.3685290353954915,1.6223726954493862
66.0,0.7757374461818884,0.3308426435820286,1.1118661335863493,1.7078008527596238,1e-05,109.02318594185964,5.377847900207824,1.6297837487316715
67.0,0.7777942277187226,0.33173925844261387,1.1114622038419821,1.707116048871926,1e-05,109.26063508197413,5.385095593046097,1.636558976534747
68.0,0.7798495125675783,0.3326359317436598,1.1109519271873651,1.7062414591544053,1e-05,109.49528154754722,5.390267421026981,1.6426757226008186
69.0,0.7818966764068415,0.333529760733149,1.1103388444390319,1.7051832801131512,1e-05,109.7263210145693,5.393365779762444,1.6481135702390566
70.0,0.7839290836264546,0.3344178356470631,1.1096268060909027,1.7039482724839075,1e-05,109.95296193655177,5.394400074389217,1.6528544697035505
71.0,0.7859401125221765,0.3352972508584307,1.1088199431476131,1.702543708429183,1e-05,110.17442837235697,5.393386594329968,1.6568828465796497
72.0,0.7879231796866224,0.33616511568175195,1.107922637272213,1.7009773175157128,1e-05,110.38996260859196,5.3903483443357825,1.6601856903246852
73.0,0.7898717634925095,0.3370185647850771,1.1069394906701746,1.6992572320828332,1e-05,110.5988275707516,5.385314834495381,1.662752622289584
