,mu1max,mu2max,KS1,KS2,KI2
0,0.5812212501,0.7408603131,5.8532014186,9.9876404034,140.0570870815
1,0.5703772028,1.3198903207,5.8191854439,11.5332324276,134.0358158209
2,0.5744825487,0.9195096711,5.8481534194,10.8131205465,134.0843299478
3,0.6098795162,1.0684098363,5.9693391099,11.19354203,134.3380641285
4,0.5502352244000001,1.3379406899,5.7374538812,11.7282807064,128.6480934565
5,0.5520458890000001,1.049260361,5.6859629474,11.2015485548,131.7376763082
6,0.5315295865,1.165086784,5.6050721485,11.338184731,134.5719631785
7,0.5128556824,0.8508188989000001,5.6014168723,10.5536303253,129.1981753145
8,0.5571336375,1.00653798,5.8413472236,11.0257824329,135.8369194987
9,0.6268936554,0.7225611928,6.0634263722,10.0398598908,137.2175290097
10,0.6188502472,0.9771408053,6.0048643855,11.0401150543,133.1273598674
11,0.561758517,0.8657178402,5.8173014941000005,10.4985277108,136.7511779068
12,0.5004101761,1.1502868492,5.5365839007,11.4268858135,130.4595171432
13,0.5990367967,0.8930783571,5.9544259164,10.7110193201,132.2558887747
14,0.619308952,0.7836458044,6.0119611888,10.2354214568,132.7947406718
15,0.5489047952,0.909512549,5.6827482971,10.744068299,131.3632387555
16,0.5872803263,0.7319949688,5.8115795997,9.9523469147,129.9471905516
17,0.5921186634,1.3415137119,5.910336071,11.8324533904,141.4815810121
18,0.5678421652,1.3975146203,5.8030977352,11.8807598457,137.801067568
19,0.591832759,0.947010784,5.9538884667000005,10.8779726222,123.3408291923
20,0.5440648095,0.8712063991000001,5.6956870064,10.5960704504,136.1961849607
21,0.6436489286,0.8480185185,6.1032951486,10.4791747192,138.9196389932
22,0.5980452566000001,1.1877376755,5.9335472049,11.4363263671,121.8709671845
23,0.573084452,1.3557335167,5.7784817707,11.7037608217,129.7968829354
24,0.5187371609,1.0857738843,5.6133712904,11.0967036224,135.5801805332
25,0.4905220448,0.9281710498,5.4337048565,10.9089204019,130.3177111615
26,0.5382641476,0.7542098547,5.6727833455,10.1343135795,146.3309636376
27,0.4907702686,1.005485487,5.4035117567,11.0970769409,128.4706158971
28,0.5691256531000001,0.7988284882000001,5.8301076989,10.3346599603,135.8237984521
29,0.5446775719,0.8707099526000001,5.767207751,10.4341232814,130.8934315686
30,0.5681833063,1.4094198457,5.8559824388,11.7000946352,134.7171769815
31,0.5740502139,0.8568977162,5.8160273601,10.4870692061,134.221546868
32,0.5072377438,1.1727319978,5.5401720807,11.4158551587,134.1066916676
33,0.5079362703,1.2017878372,5.5596522696,11.4098066055,125.4165688911
34,0.5947727938,1.2664069693,5.8705827131,11.7334329117,135.6206186263
35,0.6541810995,0.9244266227000001,6.1102787189,10.7145845577,135.06675109
36,0.4858388604,0.9573653574000001,5.3572345673,10.8664807322,130.4516851385
37,0.5318783919,1.0077489,5.6355041415,11.1315154409,140.3907281492
38,0.5702713340000001,0.9874418007,5.8354089129,10.8824779327,131.645240472
39,0.5516671749000001,1.4115068133,5.7680738893,11.8434910641,136.9341557344
40,0.5342774031,1.3494117419,5.6197630477,11.8497794062,140.2840682922
41,0.4901792003,0.9198513289,5.358304401,10.8452599174,130.9468113589
42,0.5697793187,0.8327408712000001,5.7975949759,10.5151345018,131.9518421534
43,0.5530367726000001,1.0724610683,5.718832229,11.1306956987,132.8129362013
44,0.6031511547,0.9944164485,5.9344396933,11.0145250685,127.8827130828
45,0.5691330272,1.3966703005,5.8448473308,11.750621389500001,124.1152218887
46,0.5441629473,0.9881686421,5.7249545609,10.9979523205,133.6378101099
47,0.5552653824,0.9622171089,5.8008355249,11.0329258304,133.9350664886
48,0.4928139455,1.0330097646,5.4778365765,11.1253231911,132.2848067218
49,0.5970414593000001,0.92511973,5.9194963545,10.781436812799999,139.4252263852
