,mu1max,mu2max,KS1,KS2,KI2
0,0.9715601519,1.1801687414,15.7341499187,4.8138527172,290.8269412884
1,0.9169781984,1.2193167235,15.2427611363,4.8580269602,289.7979823298
2,0.8469714578,0.9302433882000001,14.4369087413,4.2185313081,301.7822822442
3,0.9049474568,1.2032785178,15.1011435073,4.8754948460000005,294.7008043141
4,0.8929766924,1.2286325016,14.8792008264,4.8696828255,283.4019360022
5,0.7957645388,1.1240533226,14.0296964846,4.660324289,280.6650384587
6,0.8862661921,1.3628330158,14.9905328984,5.1329476802,291.8722594073
7,0.8742430225000001,1.7799331708000001,14.8775700091,5.7831947954,286.3050622789
8,0.9167400265000001,1.1873490023,15.2890293173,4.8398305214,290.5619622376
9,0.8575740133,1.2414027446,14.6628169435,4.9158746220000005,285.6394891187
10,0.8777966653,1.731611965,14.9606048491,5.6644234123,276.4604772854
11,1.0270641818,1.2341322138,16.1370474745,4.9169972653,280.0001600917
12,0.8473511452,1.2051860652,14.4254534667,4.8333438026,289.5808772767
13,0.8636621244,1.482748596,14.5981063896,5.3249431586,290.272561368
14,0.8874446018000001,1.5222249638,14.846791688,5.4266202661000005,286.0634677987
15,0.9257366490000001,1.1859118032,15.1634528141,4.7458375667,285.1106289694
16,0.9097895133,1.2175408634,15.1858966835,4.847394099,289.0835080996
17,0.9063257555,1.3400602681,15.2292342264,5.0806418793,288.7880189279
18,0.8968338736,1.0212013844,14.9423923386,4.4318591667,296.0675186804
19,1.0312716622,1.182800208,16.2787226907,4.8267417438999995,294.4871754625
20,0.8851671984,1.1992463233,14.9658988547,4.7793726818,292.9399151079
21,0.9134084458,1.2702544804,15.19988855,4.9461170423,292.9704945491
22,0.9067264668,1.1952480575,15.1983376037,4.8434640459,289.5022569594
23,0.9069733465,1.1888698996,15.180953682,4.8011559779,285.7835728253
24,0.9035844669,1.2049106617,15.1597238115,4.8516475753,290.3545650475
25,1.0038909015,1.0025607105,16.0563853482,4.4126678684,270.0990393005
26,0.9142138280000001,1.1972173507,15.0244351043,4.8258418001,290.8187790253
27,0.9291192233000001,1.1594477585,15.3491016968,4.7321075166,289.4907926258
28,1.0254073391,1.3164372417,16.2775594724,5.0532520826,305.7367599606
29,0.9067732862000001,1.2084175202,14.9946404933,4.8214330793,288.9597877144
30,0.9196513386,1.1186075303,15.2469939164,4.6420035769,296.9921769003
31,0.9645435992,1.566352017,15.7000952863,5.4595768515,294.2412769979
32,0.8982083855,1.2123879201,15.0187039658,4.8492410056,288.8011328365
33,1.0142382193,1.0884323724,15.9904371894,4.5681932001,301.280168359
34,1.0507447925,1.2751868648,16.5048704371,4.9670927447,279.5655265588
35,0.7870405779,1.0867635461,13.8022704903,4.6391963352,299.9812703934
36,0.9665536176,1.4863502068,15.9324641654,5.3186002779,290.9024481906
37,0.8500792092,1.5265329802,14.5638031973,5.4337934062,292.9269313716
38,0.9185680324000001,1.2417959067,15.2096634067,4.9071070275,293.5716262296
39,0.9085625574,1.1606582882,15.0521829697,4.7388998122,287.9786304943
40,0.9163285875,1.225681112,15.5754964287,4.9133310119,294.3492471016
41,0.9180084017000001,1.2376184881,15.3781285253,4.9047230608,296.1836396017
42,0.9033573229,1.2136835091,14.9743627922,4.8340539506999995,290.4508774627
43,0.9943718391,1.1801429543,15.9363310834,4.8007412405,289.8648652305
44,0.9304343105,1.2394339942,15.2576236234,4.9160923118,290.2351056812
45,0.9281299793000001,1.2985072324,15.4101027145,5.0006996421,288.1965024832
46,0.9164656887,1.0826486966,15.1146899119,4.5872898649,288.7515099323
47,0.8167134169,1.2003341194,14.3438230647,4.841742955,290.8571813246
48,0.9608326161,1.1742569126,15.6175390559,4.7552480927000005,285.885833384
49,0.9347437160000001,1.0902398808,15.3591964491,4.5826196304,288.5678772227
50,0.9010403207000001,1.2043382364,14.9646837656,4.8716602163000005,285.4496526928
51,0.9181428207000001,1.6663776576,15.2347686552,5.5934787336,299.4851858705
52,0.9110968798,1.2285036176,15.1259745329,4.8462993489,287.7929926281
53,0.8848023271000001,1.2061580711,14.8580356545,4.8495444286,280.211883167
54,0.8182870443,1.3332315898,14.1981300897,5.0437432666,317.2535529447
55,0.9095301152,1.1806254701,15.061079132,4.8066857889,290.0994266454
56,1.0523621723,1.2021249564,16.5758221979,4.7849043929,302.1348587764
57,0.8994016346,1.1910900854,15.1071471616,4.8254844943,290.7700937573
58,0.9111980567,1.2027480013,15.3272561381,4.8446990779,296.9565246978
59,1.0454023859,1.220344807,16.5022097302,4.8868580571999995,306.8964229755
60,0.8804591397,1.1893608771,14.9247294369,4.82633612,288.2680858109
61,0.8264379667,1.097075057,14.228025909,4.6338600444,286.284101712
62,0.9048319324,1.1617278746,15.1270886455,4.7579208748,292.6857562456
63,0.8824110873000001,1.1174954053,14.8911718267,4.7166808506999995,269.0485980648
64,0.9067321705,1.2219718354,15.0730219917,4.8482821988,289.6368400341
65,0.9013592606,1.5863314411,15.0881510989,5.5559730688,274.913988741
66,0.8977862436,1.2257341156,15.0580000579,4.8800911671,288.5044253749
67,0.9052066324,1.2102162128,15.0740339128,4.8139704262,291.0542735523
68,0.8876354124,1.1738878793,14.9278642696,4.7541415028,286.8407677877
69,0.9166476561,1.2185628155,15.2822576323,4.8602393009,293.3387928829
