time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_c,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,pH,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2,S_co2,S_nh4_ion,q_gas,q_ch4,p_ch4,p_co2,VS,VSR
1.0,,,,0.03319582028788206,0.034029540207189186,0.018138173604860253,0.3188239095796545,,,,0.1421335074511753,,,,,,,,,,,,,,,,,,,,,,,,,,,,4698.6958608702125,3297.7682854415834,0.5881837128132157,0.3981851104429178,,
2.0,,,,0.03240199845345827,0.034987029294519904,0.023281427737491693,0.2924423167051694,,,,0.1584711512373138,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955.271466613641,3227.329804481411,0.5967575067817228,0.3950974704757921,,
3.0,,,,0.03309484195626224,0.04625221381966543,0.022937480431976104,0.2806842706720086,,,,0.13323023575721443,,,,,,,,,,,,,,,,,,,,,,,,,,,,5541.804399504658,3190.0383250615555,0.5976751066019709,0.43794126055858135,,
4.0,,,,0.033696247473518195,0.038889293881967116,0.024223468330005944,0.3356268020407404,,,,0.17124881858263188,,,,,,,,,,,,,,,,,,,,,,,,,,,,4953.87653186596,2814.100620877935,0.6981758580589091,0.44374233104825894,,
5.0,,,,0.03702816785295658,0.04243286397748877,0.023644650448042454,0.27284952316565175,,,,0.1639105042561855,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141.417137923863,2766.530281019591,0.6800468611135038,0.34830773520372565,,
6.0,,,,0.03165401075562894,0.04087129143441876,0.021052440011588697,0.3269250219575453,,,,0.13991391907014536,,,,,,,,,,,,,,,,,,,,,,,,,,,,5419.429188013,2978.888310736037,0.6681166449616012,0.3999690892611435,,
7.0,,,,0.0374224387216455,0.04679392479789695,0.02042427187630004,0.2955353580214087,,,,0.1498371805099371,,,,,,,,,,,,,,,,,,,,,,,,,,,,5803.530027782841,2672.6196353368973,0.5970226875004984,0.40988874757810506,,
8.0,,,,0.03141025261970706,0.03681262413781893,0.025509830288406574,0.3643162368759744,,,,0.17382411691416755,,,,,,,,,,,,,,,,,,,,,,,,,,,,5318.336884856999,3354.3494752245224,0.7064765189088903,0.36874047037852,,
9.0,,,,0.033441538121112224,0.03924831834505187,0.022250833233252106,0.3696071978930719,,,,0.16157308828364,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614.944791318786,3022.489514833602,0.7414593393793402,0.44944504142532665,,
10.0,,,,0.033310476722898864,0.04645524384286194,0.022083100774168085,0.3234972072679071,,,,0.15072807530741872,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770.964495725295,2811.90702892097,0.5843539428877221,0.4249093721364777,,
11.0,,,,0.03355812900936194,0.04292757939934801,0.02287136044505261,0.3573306818193904,,,,0.153725959782839,,,,,,,,,,,,,,,,,,,,,,,,,,,,5710.590689709332,3479.7200510434996,0.5836010261961909,0.3945455767902039,,
12.0,,,,0.03773870816254484,0.04740428143505225,0.02322628266514485,0.31844146160366543,,,,0.1351712739016235,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313.526478973926,3212.219085325339,0.7176926494319663,0.34628734978700715,,
13.0,,,,0.036092268977922726,0.04878300493094394,0.020469774690550054,0.3633726211548765,,,,0.18107311128159542,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711.343863315055,3298.9162584356945,0.5972923463853667,0.3913838252642021,,
14.0,,,,0.03789937802939963,0.04703793997323646,0.02054033374197687,0.30717968013192437,,,,0.15310906907447577,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.453369627539,3379.692523687128,0.7724315797840128,0.3491840537597757,,
15.0,,,,0.038000695779829397,0.04908341499798225,0.021995793164120522,0.31184768048547507,,,,0.13831524417639793,,,,,,,,,,,,,,,,,,,,,,,,,,,,4875.942675932403,3012.9134733060896,0.652321444077394,0.41904077771989523,,
16.0,,,,0.03829963186424056,0.047087476349150836,0.02392822545205192,0.3663731709263215,,,,0.1734376857022492,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229.097421470789,3165.838998357321,0.7714694973534386,0.37601140775613817,,
