time,D,S1,S2,Z,C,pH
31.25,0.0300261206183724,31.906493466982823,0.0,1.0000000000000018e-05,0.0,7.4
31.5,0.0300823717193228,31.92447578485522,0.0,1.0000000000000018e-05,0.0,7.4
31.75,0.0301382937462545,31.94290981174851,0.0,1.0000000000000018e-05,0.0,7.4
32.0,0.0301938797318856,31.961793342272387,0.0,1.0000000000000018e-05,0.0,7.4
32.25,0.0302491227996953,31.981124051868377,0.0,1.0000000000000018e-05,0.0,7.4
32.5,0.0303040161648733,32.00089949726569,0.0,1.0000000000000018e-05,0.0,7.4
32.75,0.0303585531352483,32.02111711696418,0.0,1.0000000000000018e-05,0.0,7.4
33.0,0.0304127271121967,32.041774231744306,0.0,1.0000000000000018e-05,0.0,7.4
33.25,0.0304665315915311,32.0628680452041,0.0,1.0000000000000018e-05,0.0,7.4
33.5,0.0305199601643684,32.08439564432282,0.0,1.0000000000000018e-05,0.0,7.4
33.75,0.0305730065179767,32.10635400005132,0.0,1.0000000000000018e-05,0.0,7.4
34.0,0.0306256644366025,32.128739967928894,0.0,1.0000000000000018e-05,0.0,7.4
34.25,0.0306779278022766,32.15155028872649,0.0,1.0000000000000018e-05,0.0,7.4
34.5,0.0307297905955994,32.17478158911621,0.0,1.0000000000000018e-05,0.0,7.4
34.75,0.030781246896505,32.1984303823668,0.0,1.0000000000000018e-05,0.0,7.4
35.0,0.0308322908850045,32.22249306906508,0.0,1.0000000000000018e-05,0.0,7.4
35.25,0.0308829168419085,32.24696593786309,0.0,1.0000000000000018e-05,0.0,7.4
35.5,0.0309331191495276,32.27184516625081,0.0,1.0000000000000018e-05,0.0,7.4
35.75,0.030982892292353,32.29712682135435,0.0,1.0000000000000018e-05,0.0,7.4
36.0,0.031032230857714,32.32280686075914,0.0,1.0000000000000018e-05,0.0,7.4
36.25,0.0310811295364159,32.34888113335835,0.0,1.0000000000000018e-05,0.0,7.4
36.5,0.0311295831233553,32.37534538022604,0.0,1.0000000000000018e-05,0.0,7.4
36.75,0.0311775865181144,32.40219523551486,0.0,1.0000000000000018e-05,0.0,7.4
37.0,0.0312251347255335,32.429426227378315,0.0,1.0000000000000018e-05,0.0,7.4
37.25,0.0312722228562623,32.45703377891705,0.0,1.0000000000000018e-05,0.0,7.4
37.5,0.0313188461272889,32.48501320914934,0.0,1.0000000000000018e-05,0.0,7.4
