time,X1,X2,S1,S2,Z,C,qm,qc
1.0,0.7522577071500866,0.3212871698707506,1.0133023184523877,1.534553208075786,1e-05,105.7817945304041,3.4019905526215872,0.9976777717027482
2.0,0.7521790405129863,0.32124955735934124,1.0138357686167172,1.5354340187349516,1e-05,105.7698363099339,3.4109773523201428,1.000139249998279
3.0,0.7520575754280904,0.32119275160959937,1.0144481259237228,1.5364732187002585,1e-05,105.75187996897827,3.421443212282683,1.0029554102252956
4.0,0.7518929542761006,0.32111656359514784,1.0151618487410967,1.5376797819050245,1e-05,105.72794074928981,3.433477910832138,1.00615146001949
5.0,0.7516855969996434,0.32102119153181097,1.0159763485193172,1.5390494892596729,1e-05,105.69815359282724,3.447034038559957,1.009714094606406
6.0,0.7514364512520346,0.3209070156673082,1.0168790063502287,1.5405908172744243,1e-05,105.66271654254169,3.4622005154547577,1.0136701255503515
7.0,0.7511470756691875,0.3207748160091334,1.0178659403412593,1.542276291063444,1e-05,105.6219380541501,3.4786876343018287,1.0179379373187332
8.0,0.750818767841554,0.32062512575226526,1.018939896497981,1.5441141696950862,1e-05,105.5760578621499,3.4965827385718407,1.022544218819518
9.0,0.7504531817476423,0.3204586735551935,1.020099169856333,1.546101848842026,1e-05,105.52537138178334,3.5158592848437413,1.0274832769325244
10.0,0.7500528368001148,0.32027660281634573,1.0213252761845701,1.5482263997572014,1e-05,105.47030091568479,3.5363855362956835,1.0327205910982886
11.0,0.7496191832747291,0.3200795218506559,1.0226457255079557,1.5504937416951816,1e-05,105.41109594038434,3.5582236746805385,1.0382755142246163
12.0,0.7491546698132306,0.31986847246938893,1.0240481708033666,1.5529099265417778,1e-05,105.34814581289682,3.5814415534555804,1.0441707140361571
13.0,0.7486620330726715,0.3196446893920046,1.025528078726008,1.5554628630661331,1e-05,105.2818891632182,3.6059170376942626,1.0503747059948718
14.0,0.7481442055598112,0.31940946190112574,1.0270832166398742,1.5581486546873065,1e-05,105.21278033449074,3.6316156262020076,1.0568816026729047
15.0,0.7476043659173961,0.3191641860299589,1.0287113074313474,1.5609634714949374,1e-05,105.14130270397054,3.658504996000651,1.0636866340914295
16.0,0.7470459327440861,0.31891036273762685,1.0304099760772882,1.5639033191808458,1e-05,105.06796760859534,3.6865526747450237,1.0707854975953244
17.0,0.7464725552256918,0.3186495939156827,1.0321767394865706,1.5669640177342516,1e-05,104.9933126541032,3.7157259134877174,1.0781743347437793
18.0,0.7458881015649768,0.31838357743029455,1.034008995854395,1.570141182112263,1e-05,104.91789972000271,3.7459915710488207,1.08584970719235
