time,X1,X2,S1,S2,Z,C,qm,qc
1.0,0.7228129598522902,0.311738910613223,2.254103976122688,0.6631736241131987,1e-05,103.44148093430934,3.2992055807180787,0.9403928326540026
2.0,0.7227189926955544,0.31169695596286917,2.2552821900324065,0.6634356175832558,1e-05,103.42767723504033,3.3064200136675668,0.9422669506785355
3.0,0.7225769470170664,0.3116338306322215,2.2567618134040752,0.6637708261870777,1e-05,103.40712443211378,3.3155459972890595,0.9446003279708326
4.0,0.7223876803014417,0.3115499501397298,2.2585141001263986,0.664167765450461,1e-05,103.38003226040546,3.3262484592649697,0.947299864934991
5.0,0.7221518109970134,0.31144559345961803,2.2605300966191266,0.6646236989477499,1e-05,103.34656609898681,3.3384459639972914,0.9503433382645821
6.0,0.7218702044536386,0.31132113102927395,2.2628006522418995,0.665140144004868,1e-05,103.30692114277834,3.3521815761895324,0.953743796759926
7.0,0.7215448686688855,0.3111774632271822,2.2653029490019168,0.6657097169434745,1e-05,103.26145941794127,3.3672437390007826,0.9574444307407797
8.0,0.7211770960974735,0.3110151488033083,2.268039949324393,0.6663332297829343,1e-05,103.2104294896955,3.38365603013157,0.9614532435668077
9.0,0.720768564668023,0.3108349192780995,2.2710089389876056,0.6670101013790316,1e-05,103.15413295303883,3.4014027659684887,0.965767718632478
10.0,0.7203219282707445,0.3106379397056501,2.2741857668758514,0.6677372659003464,1e-05,103.09300954278874,3.420400376478574,0.9703678811674168
11.0,0.7198388402892711,0.31042493168419744,2.277589384048448,0.6685139447438199,1e-05,103.02734723108709,3.4406269037515016,0.9752492528100675
12.0,0.7193214176029614,0.3101968031628073,2.281221423949162,0.6693434145468578,1e-05,102.9574951664447,3.4621799567325726,0.9804415780377991
13.0,0.718772598179055,0.30995484306775256,2.2850688700220414,0.6702225092891488,1e-05,102.88392044629602,3.4849739799459347,0.9859246567246173
14.0,0.7181954342817299,0.30970038459002147,2.2891244430532787,0.6711495166872365,1e-05,102.80709967069868,3.5089663712099877,0.9916905486032577
15.0,0.7175931949429889,0.3094348540083493,2.2933820569260446,0.6721230313775176,1e-05,102.72753447079761,3.534124743437798,0.9977345899491872
16.0,0.7169693846834884,0.309159779864376,2.297835715864246,0.6731416768497471,1e-05,102.64575411850366,3.5604190713094055,1.0040532533492044
17.0,0.716327740652842,0.3088767919849056,2.3024792299820147,0.6742040342290753,1e-05,102.56231482776313,3.587819751780995,1.0106436292498358
18.0,0.7156722229853989,0.30858761737302204,2.3073061234775905,0.6753086198086479,1e-05,102.47779803941255,3.6162970499420646,1.0175032838249087
19.0,0.7150070018804753,0.30829407463363484,2.3123095868174595,0.6764538737574816,1e-05,102.3928082370941,3.6458208537201555,1.0246301971717608
20.0,0.7143352215718963,0.30799751017004773,2.3175280064889985,0.6776452593950043,1e-05,102.30779066242832,3.6765581036261303,1.03207524504283
21.0,0.7136634776219581,0.30770083926099734,2.3228752064238294,0.6788698665457583,1e-05,102.22369339039004,3.708166977569417,1.0397547424495006
22.0,0.7129958796239062,0.3074058476597538,2.328368067555422,0.6801278802763551,1e-05,102.1410855023071,3.7406705204877384,1.0476819293566508
23.0,0.7123371207263396,0.30711457707290823,2.3340041100411115,0.6814188746196792,1e-05,102.06061340397177,3.774078237468616,1.0558675538774447
24.0,0.7116921148135752,0.3068291699183695,2.3397757546879348,0.6827411488683817,1e-05,101.98294805093245,3.8083655358204926,1.0643135754515234
25.0,0.7110658889818173,0.3065518193515763,2.3456737555504192,0.6840925939543971,1e-05,101.90876838831015,3.8434981986082506,1.0730197834514497
26.0,0.7104635367299987,0.3062847481456302,2.3516880115058174,0.6854708992396497,1e-05,101.83875427867538,3.8794381752642706,1.081985334642548
27.0,0.7098901848798044,0.3060301941432754,2.3578077458831537,0.6868735975080489,1e-05,101.77358162854831,3.9161447766721906,1.0912090377522594
28.0,0.7093509630255994,0.30579039694629645,2.364021536045967,0.6882980730670206,1e-05,101.7139179717816,3.953574804334094,1.1006893434019487
29.0,0.7088509729540156,0.3055675846220698,2.370317311474708,0.6897415617217744,1e-05,101.66041811350854,3.991682423456118,1.1104242586239723
30.0,0.708395257599666,0.3053639602148196,2.3766823498225453,0.6912011490540243,1e-05,101.61371976822186,4.030418959956253,1.1204112345660888
31.0,0.7079887696442505,0.30518168808991,2.38310327802993,0.6926737719054366,1e-05,101.5744392056653,4.06973275924626,1.1306470650787144
32.0,0.7076363399562685,0.3050228802095659,2.389566082013784,0.6941562196750904,1e-05,101.5431669384236,4.1095690099917075,1.1411277696108637
33.0,0.7073426461553785,0.30488958245146075,2.3960561248686925,0.6956451386543915,1e-05,101.52046349140976,4.149869624466626,1.1518484857858133
34.0,0.7071121815582713,0.3047837610853407,2.4025581745707774,0.6971370384587601,1e-05,101.5068552929011,4.190573149332186,1.1628033647141711
35.0,0.7069492247726281,0.3047072895258332,2.4090564415231666,0.6986282999497161,1e-05,101.5028307273883,4.231614690978784,1.173985465083846
36.0,0.7068578102137353,0.3046619354722464,2.415534625557791,0.7001151869363484,1e-05,101.5088363886749,4.272925921871955,1.1853866647067968
37.0,0.7068416997768824,0.3046493485482272,2.421975973221714,0.7015938585686768,1e-05,101.5252735698219,4.314435083189619,1.1969975669014998
38.0,0.7069043559279734,0.30467104854681876,2.428363344290316,0.7030603847085226,1e-05,101.55249502535372,4.356067051487041,1.2088074209926611
39.0,0.7070494225642658,0.30472866228675166,2.4346279341393355,0.7045032894353239,1e-05,101.59088024323555,4.397536543150639,1.2207485820790704
40.0,0.7072781922489,0.30482273027102763,2.44083444052145,0.7059282973569959,1e-05,101.64045122553658,4.439027633597165,1.2328766394160002
41.0,0.7075936738272635,0.3049545690507051,2.4469503017882395,0.7073330990345063,1e-05,101.70148561951605,4.48050933690094,1.2451923274139831
42.0,0.7079981882035418,0.3051252140799222,2.452945648472675,0.7087105737418828,1e-05,101.77416136423182,4.521811302516141,1.2576567631704239
43.0,0.7084934375361722,0.305335423339695,2.4587996743910567,0.7100558793124814,1e-05,101.85856336294393,4.562823107996356,1.2702460268777525
44.0,0.70908065071746,0.30558574680835604,2.464494012199149,0.7113647824474211,1e-05,101.95470743041147,4.603447905105981,1.2829387518735773
45.0,0.7097606118568538,0.30587654033763845,2.4700111520541363,0.71263325823997,1e-05,102.06254594527903,4.643591046460667,1.2957130140149338
46.0,0.7105336613791308,0.3062079664330552,2.4753341291546596,0.713857408987406,1e-05,102.18196922241569,4.683157525932524,1.3085455686701923
47.0,0.7113996922968041,0.30657999263702684,2.4804465302370486,0.7150334632641403,1e-05,102.31280612716132,4.72205165799551,1.321411690139728
48.0,0.7123581473454789,0.30699239021289343,2.485332579070386,0.7161577948951738,1e-05,102.45482481285079,4.760177341058874,1.3342851753192797
49.0,0.7134080184118647,0.3074447338089736,2.4899772393187978,0.7172269463702737,1e-05,102.60773379608209,4.797438485104617,1.3471384014677354
50.0,0.7145478485934391,0.3079364022655714,2.4943663180989692,0.7182376525375038,1e-05,102.771183413029,4.833739494117787,1.3599424102307667
51.0,0.7157757369299319,0.30846658058699467,2.4984865652469805,0.7191868633419407,1e-05,102.94476765326182,4.868985773561264,1.3726670111486727
52.0,0.7170893457704725,0.30903426306521925,2.502325765544655,0.7200717649776844,1e-05,103.12802635504981,4.903084248848556,1.385280901891369
53.0,0.7184859106831245,0.30963825751565505,2.5058728228527722,0.7208897991857752,1e-05,103.32044773749169,4.935943889825416,1.3977518047010609
54.0,0.7199622528010754,0.3102771905801342,2.5091178348351386,0.7216386804065437,1e-05,103.52147124288014,4.967476234588343,1.4100466178756572
55.0,0.7215147934766305,0.3109495140419241,2.5120521573090526,0.7223164105686664,1e-05,103.73049065925558,4.997595906909595,1.422131581149976
