time,X1,X2,S1,S2,Z,C,qm,qc
1.0,0.7202240675241163,0.33125226332114055,4.098236282501774,1.0075721396399373,1.0047663161085007e-05,94.85524307995621,14.195771647466119,3.727188388131778
2.0,0.8597148874063514,0.37406395751902927,4.152777928926175,1.0877512856307978,1.1198071383129605e-05,94.88623399856878,12.491831965735352,3.584421472931029
3.0,0.8258745626753583,0.34552518012335093,4.139892336186889,0.9303885917215243,1.0488750653945314e-05,112.76650556161191,11.979670294322922,3.687979503017913
4.0,0.7640377289038849,0.3010651387766774,3.4878972592989417,0.873191037188309,1.0218973641738025e-05,97.49879730859821,13.582999686133649,4.156090146060732
5.0,0.6723870149994727,0.36045733410324393,3.5363323369364785,1.0140502673124727,8.845487682971198e-06,105.14225550629503,11.228175377621062,3.5261613878538496
6.0,0.896633311496837,0.29853805856599425,3.2065413044256306,0.9806052516073782,9.968709481673611e-06,115.39785855512443,14.195641253732115,3.7628277528464995
7.0,0.782513870340656,0.3789878095989185,3.2061725116494544,1.06004863898771,9.912488052027207e-06,111.73789396633504,12.80396029124282,4.175136046619121
8.0,0.688717968371415,0.3474748622399644,3.8520445443001,1.0673140869220787,1.0086872155252266e-05,95.10594542360322,14.102038935510572,4.206076267131176
9.0,0.7015165776346667,0.29079639482580555,3.5695754788331993,0.9201416855438634,9.392556736968292e-06,114.25333059530558,12.61975685969044,3.3770533570096677
10.0,0.8008969561497751,0.2847966533449525,3.964064648191444,0.9362035758108814,9.056133602748852e-06,96.55725653500537,12.081706252597222,3.107962396402977
11.0,0.7945820884641412,0.29179493306272475,4.010496598691038,1.10219205656249,9.57718316158081e-06,110.25213633589561,13.316480835067257,3.1049945326668924
12.0,0.7424542145467955,0.30054015275372453,3.1354065525782304,0.8960932121687143,9.684944195940128e-06,122.24965302379054,12.153797099411648,3.7984573778687407
13.0,0.7457145896716905,0.2939281265480602,3.830666019731796,0.8938796006703148,1.1495101548050838e-05,109.66664812461671,11.77050433601089,3.4054004371039284
